Joke,Joke Search Criteria,Meta Joke, Meta,Primary Tag,Tags,
Puppy Monkey Baby,Puppy Monkey Baby,Mountain Dew,Commercial,Song,,
Baby,Baby,Justin Bieber,Artist (Music)&|2000s Music,Song,,
Baby,Baby,Ludacris,Artist (Music)&|2000s Music,Song,,
Made a Word!,Made a Word!,LeapFrog,Company,Toy,,
The Joke-Explainer™ 7000,The Joke-Explainer™ 7000,SiIvaGunner,Content Creator&|Ripper,Meme,,
Thick Of It,Thick Of It,KSI,Content Creator&|2020s Music,Song,,
wordle rap,wordle rap,ch3rryb0y,Artist (Music),Song,,
Good Riddance (Time of Your Life),Good Riddance (Time of Your Life),Green Day,Artist (Music)&|1990s Music,Song,,
Google Screaming Ad,Google Screaming Ad,Google,Company,Song,Video,
Shocking Party,Shocking Party,Love Live!,Anime,Song,,
Suneo's Bragging Theme,Suneo's Bragging Theme,Doraemon (1979),Animated Series,Song,,
Uptown Funk,Uptown Funk,Mark Ronson,Artist (Music)&|2010s Music,Song,,
Uptown Funk,Uptown Funk,Bruno Mars,Artist (Music)&|2010s Music,Song,,
Baby Shark,Baby Shark,Pinkfong,Content Creator&|2010s Music,Song,,
Oo Ee A E A,Oo Ee A E A,dr.krex,Artist (Music),Song,Meme,
Best Song Ever,Best Song Ever,One Direction,Artist (Music)&|2010s Music,Song,,
Scatman's World,Scatman's World,Scatman John,Artist (Music)&|1990s Music,Song,,
Shelter,Shelter,Porter Robinson,Artist (Music)&|2010s Music,Song,,
Shelter,Shelter,Madeon,Artist (Music)&|2010s Music,Song,,
intro3.ogg,intro3.ogg,Friday Night Funkin',Video Game&|Video Game Music,Song,,
Burning Desires,Burning Desires,Zenless Zone Zero,Video Game&|Video Game Music,Song,,
countdown,countdown&|Smash Bros,Super Smash Bros. Ultimate,Video Game&|Video Game Music,Song,,
Let Me Hit It,Let Me Hit It,Sporty-O,Artist (Music)&|2000s Music,Song,,
Your Affection,Your Affection,Persona 4,Video Game&|Video Game Music,Song,,
SexyBack,SexyBack,Justin Timberlake,Artist (Music)&|2000s Music,Song,,
SexyBack,SexyBack,Timbaland,Artist (Music)&|2000s Music,Song,,
Mass Destruction,Mass Destruction,Persona 3,Video Game&|Video Game Music,Song,,
Temporary Secretary,Temporary Secretary,Paul McCartney,Artist (Music)&|1980s Music,Song,,
Whopper Whopper,Whopper Whopper,Burger King,Company,Song,Meme,
Shooting Stars,Shooting Stars,Bag Raiders,Artist (Music),Song,,
Burger King Foot Lettuce,Burger King Foot Lettuce,Top15s,Content Creator,Video,Meme,
I CAN SWING MY SWORD!,I CAN SWING MY SWORD!,Tobuscus,Content Creator,Song,,
synth instrument,synth instrument,Phineas and Ferb,Animated Series,Sound,,
Eh Eh Eh,Eh Eh Eh,@sp3_clan_sg,Social Media,Sound,,
EHHHHHHH EH EH EH,EHHHHHHH EH EH EH,@sp3_clan_sg,Social Media,Sound,,
Music That Makes You Poop,Music That Makes You Poop,Musical Magician,Social Media,Song,,
Be an Alpha,Be an Alpha,ZOMBIES: The Re-Animated Series,Animated Series,Song,,
Cotton Eye Joe,Cotton Eye Joe,Rednex,Artist (Music)&|1990s Music,Song,,
Gegagedigedagedago,Gegagedigedagedago,razioff,Content Creator,Song,,
Pomni Song,Pomni Song,BENJIxScarlett,Content Creator,Song,,
The Amazing Digital Circus Theme,The Amazing Digital Circus Theme,The Amazing Digital Circus,Animated Series,Song,,
Dubidubidu,Dubidubidu,Christell,Artist (Music),Song,,
GETCHA!,GETCHA!,Hatsune Miku,Vocaloid,Song,,
Astronomia,Astronomia,Vicetone,Artist (Music),Song,,
Astronomia,Astronomia,Tony Igy,Artist (Music),Song,,
Megalovania,Megalovania,Toby Fox,Artist (Music)&|Video Game Music,Song,,
Gangnam Style,Gangnam Style,PSY,Artist (Music),Song,,
Tell On Me,Tell On Me,Supa King,Artist (Music),Song,,
Tell On Me,Tell On Me,Kevin Gates,Artist (Music),Song,,
n***a started laughing at numbers 😭😭,started laughing at numbers 😭😭,sugarsmorecake,Content Creator,Meme,,
My Ding-a-ling,My Ding-a-ling,The Simpsons,Animated Series,Song,Meme,
Not Like Us,Not Like Us,Kendrick Lamar,Artist (Music),Song,,
ANTONYMPH,ANTONYMPH,Vylet Pony,Artist (Music),Song,,
Party Rock Anthem,Party Rock Anthem,LMFAO,Artist (Music),Song,,
Party Rock Anthem,Party Rock Anthem,Lauren Bennett,Artist (Music),Song,,
Party Rock Anthem,Party Rock Anthem,GoonRock,Artist (Music),Song,,
Harlem Shake,Harlem Shake,Baauer,Artist (Music),Song,,
TiK ToK,TiK ToK,Ke$ha,Artist (Music)&|2000s Music,Song,,
Axel F,Axel F,Crazy Frog,Artist (Music)&|2000s Music&|1980s Music,Song,,
If voices were instruments and instruments were voices,If voices were instruments and instruments were voices,CalebCity,Content Creator,Video,,
Karkalicious,Karkalicious,Superspecks!,Artist (Music),Song,,
MAYBE I'LL PLAY FORTNITE,MAYBE I'LL PLAY FORTNITE,grandayy,Content Creator,Song,,
The Mine Song,The Mine Song,LazyTown,TV Show,Song,,
Man's Not Hot,Man's Not Hot,Big Shaq,Artist (Music),Song,Video,
The Arena,The Arena,Kirby's Return to Dream Land,Video Game&|Video Game Music,Song,,
Sweatshirt,Sweatshirt,Jacob Sartorius,Content Creator,Song,,
We Are Number One,We Are Number One,LazyTown,TV Show,Song,,
NOW'S YOUR CHANCE TO BE A,NOW'S YOUR CHANCE TO BE A,Deltarune,Video Game&|Video Game Music,Song,,
Green Greens,Green Greens,Kirby's Dream Land,Video Game&|Video Game Music,Song,,
Mine,"""Mine""&|Bazzi",Bazzi,Artist (Music),Song,,
Christmas in July,Christmas in July,hhgregg,Company,Video,,Song
